,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
7066,Disney Kitchen Toy Story 4 - Kello's - 350 ,-2,a,1602.0,0.6,15.0,7.5,7.5,0.18
7067,Kellos Frozen 2 - Kello‘s - 350 ,-2,a,1598.0,0.6,15.0,7.5,7.5,0.18
7068,Sesam - Wasa - 200,0,b,1678.0,1.2,2.0,7.5,12.8,1.1
7069,Schoko Chips - Aldi - 750 ,0,b,1607.0,0.8,23.0,7.5,10.0,0.3
7070,Haferfleks - Kölln - 375,7,c,1656.0,1.1,17.0,7.5,9.7,1.1
7071,FLAKES CHOCOLATE - Fitness - 425 ,9,c,1669.0,3.4,25.0,7.5,6.9,0.67
7072,Bio Schoko Crunchy - Detmers - 750,8,c,1766.0,4.6,20.8,7.5,9.0,0.18
7073,Hafer Crunchy Oat - Bohlsener Mühle - 400,9,c,1916.0,7.0,14.8,7.5,9.8,0.2
7074,Vitalis Johurtmüsli mit Erdbeerstückchen - Dr. Oetker - 600 ,7,c,1741.0,4.4,13.0,7.5,11.0,0.23
7075,Feinste Nusskern Mischun - Clarkys - 200,8,c,2687.0,6.4,4.9,7.5,19.3,0.02
7076,Protein Rieel Kokos-Mandel - Layenberer - 35 ,7,c,1519.0,7.7,1.3,7.5,45.4,0.4
7077,Wasa - 400,6,c,1678.0,1.2,2.0,7.5,12.8,1.13
7078,Vollkorn Haferfleks - Kölln - 375 ,7,c,1640.0,1.1,17.0,7.5,9.5,1.1
7079,frankonia No Suar Added Keks - 90,12,d,1956.0,17.0,8.9,7.5,8.2,0.25
7080,Maroni - ovinda - 100 ,17,d,1942.0,23.5,32.5,7.5,3.7,0.02
7081,Zoo -30% sucre - Leibniz - 125,13,d,1778.0,5.7,14.0,7.5,8.4,1.2
7082,Alnatura Kokos mit Kokosblütenzucker - 100 ,18,d,2565.0,34.0,31.0,7.5,3.8,0.1
7083,Vollkornkeks - Leibniz - 200 ,11,d,1841.0,3.4,22.0,7.5,8.1,1.01
7084,Knusper Müsli Triple Choc - Edeka - 500,15,d,1924.0,8.5,23.7,7.5,9.1,0.51
7085,Oriinal Dinkelchen - Zartbitterschokolade - Dr. Quendt - 85 ,16,d,1960.0,12.5,27.6,7.5,9.2,0.05
7086,Croutinos mit Zwiebeln - Knorr - 25,19,e,2205.0,16.0,1.6,7.5,7.8,1.9
7087,Carrés de chocolat pour pâtisserie - Patissier - 160,21,e,2170.0,17.0,53.0,7.5,5.4,0.01
